,Financial_Planning,Financial_Goals,Analyze_Financial_Position,Tax_Saving_Schemes,Profile_Risk,Prompt_Installment_Payments,Recommended_Course
248,4,4,4,5,5,3,Debt Management
249,5,5,4,5,5,3,Debt Management
250,4,4,4,3,3,1,Debt Management
251,4,5,5,4,5,5,"Financial Planning, Understanding Taxes"
252,4,3,4,3,4,4,"Budget & Savings, Understanding Taxes"
253,5,5,4,5,4,5,"Frugal Living and Spending Wisely, Investment Basics"
254,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
255,5,4,5,4,4,4,"Budget & Savings, Debt Management, Investment Basics"
256,4,5,5,4,4,3,Debt Management
257,3,3,4,2,2,4,"Investment Basics, Understanding Taxes"
258,5,5,5,5,5,3,Debt Management
259,4,3,4,4,4,4,Budget & Savings
260,4,5,3,4,3,4,"Frugal Living and Spending Wisely, Investment Basics"
261,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
262,5,4,5,4,5,4,"Budget & Savings, Debt Management, Understanding Taxes"
263,3,4,4,4,4,5,Financial Planning
264,1,2,3,2,2,3,Financial Planning
265,5,5,3,5,3,5,"Frugal Living and Spending Wisely, Investment Basics"
266,3,3,4,5,5,5,"Budget & Savings, Financial Planning"
267,4,4,4,5,4,5,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
268,5,4,4,5,3,5,Investment Basics
269,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
270,4,5,5,5,5,5,Financial Planning
271,5,4,3,4,5,5,Frugal Living and Spending Wisely
272,5,4,3,4,5,5,Frugal Living and Spending Wisely
273,4,4,4,4,3,5,Investment Basics
274,5,5,4,4,4,4,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
275,2,3,2,2,2,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
276,3,4,3,3,4,3,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
277,2,2,2,4,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
278,4,4,5,4,4,5,"Budget & Savings, Financial Planning, Investment Basics"
279,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
280,5,4,3,4,4,5,Frugal Living and Spending Wisely
281,4,4,3,4,2,2,"Debt Management, Investment Basics"
282,3,3,1,2,2,2,Frugal Living and Spending Wisely
283,4,4,5,4,5,5,"Budget & Savings, Financial Planning, Understanding Taxes"
284,4,4,4,3,4,4,Understanding Taxes
285,4,5,4,5,5,5,"Financial Planning, Frugal Living and Spending Wisely"
286,4,3,4,5,2,4,Investment Basics
287,3,3,2,2,3,5,"Frugal Living and Spending Wisely, Understanding Taxes"
288,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
289,3,4,4,1,5,5,Understanding Taxes
290,2,2,2,3,3,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
291,3,3,1,3,3,3,Frugal Living and Spending Wisely
292,4,4,4,4,1,4,Investment Basics
293,4,3,5,4,4,5,Budget & Savings
294,3,1,1,1,1,3,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
295,1,1,1,1,2,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
296,1,1,1,1,2,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
297,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
298,3,4,4,4,4,5,Financial Planning
299,4,4,4,4,2,3,Investment Basics
300,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
301,4,3,5,1,5,5,Understanding Taxes
302,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
303,4,4,3,5,4,3,"Debt Management, Frugal Living and Spending Wisely"
304,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
305,4,4,3,3,3,5,"Frugal Living and Spending Wisely, Investment Basics, Understanding Taxes"
306,3,5,4,3,4,4,"Financial Planning, Understanding Taxes"
307,4,2,2,4,4,3,"Budget & Savings, Frugal Living and Spending Wisely"
308,4,4,4,3,2,4,Investment Basics
309,1,1,2,2,1,3,"Budget & Savings, Financial Planning, Investment Basics"
310,3,4,5,3,5,5,"Financial Planning, Understanding Taxes"
311,4,4,5,1,5,4,Understanding Taxes
312,4,4,5,1,5,4,Understanding Taxes
313,4,5,5,4,2,5,Investment Basics
314,5,4,4,5,5,5,"Budget & Savings, Frugal Living and Spending Wisely"
315,2,3,2,3,3,3,"Financial Planning, Frugal Living and Spending Wisely"
316,4,4,3,3,3,3,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
317,4,4,3,3,3,3,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
318,4,4,5,4,3,5,Investment Basics
319,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
320,2,1,4,2,2,4,Budget & Savings
321,3,3,3,2,2,1,Debt Management
322,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
323,4,3,4,4,3,4,"Budget & Savings, Investment Basics"
324,3,3,3,3,2,3,Investment Basics
325,4,5,5,4,4,1,Debt Management
326,4,4,4,4,3,2,Debt Management
327,4,4,5,4,3,3,"Debt Management, Investment Basics"
328,3,3,2,3,3,3,Frugal Living and Spending Wisely
329,1,1,1,1,1,1,"Budget & Savings, Debt Management, Financial Planning"
330,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
331,4,4,4,4,5,4,"Budget & Savings, Debt Management, Financial Planning"
332,4,3,2,4,4,3,Frugal Living and Spending Wisely
333,2,3,3,2,4,3,"Financial Planning, Understanding Taxes"
334,3,4,3,4,1,4,Investment Basics
335,2,4,4,4,2,4,"Financial Planning, Investment Basics"
336,3,3,3,1,2,4,Understanding Taxes
337,1,1,1,1,1,1,"Budget & Savings, Debt Management, Financial Planning"
338,3,1,1,1,1,2,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
339,5,5,4,4,4,5,"Frugal Living and Spending Wisely, Investment Basics, Understanding Taxes"
340,3,3,4,4,4,5,"Budget & Savings, Financial Planning"
341,4,4,4,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
342,1,1,2,3,3,1,"Budget & Savings, Debt Management, Financial Planning"
343,3,4,4,4,3,4,"Financial Planning, Investment Basics"
344,4,5,4,4,4,5,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
345,4,4,3,4,4,4,Frugal Living and Spending Wisely
346,1,1,1,2,2,1,"Budget & Savings, Debt Management, Financial Planning"
347,2,3,5,2,2,5,"Financial Planning, Investment Basics, Understanding Taxes"
348,4,4,5,4,3,4,Investment Basics
349,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
350,4,4,4,4,3,5,Investment Basics
351,2,4,2,4,2,3,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
352,4,4,4,4,4,3,Debt Management
353,2,3,2,1,3,2,Understanding Taxes
354,4,3,2,4,4,2,"Debt Management, Frugal Living and Spending Wisely"
355,5,4,5,2,3,5,Understanding Taxes
356,4,4,4,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
357,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
358,1,2,3,1,3,2,"Financial Planning, Understanding Taxes"
359,4,4,4,2,3,4,Understanding Taxes
360,4,4,5,3,4,3,"Debt Management, Understanding Taxes"
361,3,1,1,3,2,3,"Budget & Savings, Frugal Living and Spending Wisely"
362,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
363,4,4,3,4,3,4,"Frugal Living and Spending Wisely, Investment Basics"
364,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
365,5,4,5,5,5,5,Budget & Savings
366,3,2,3,2,3,2,"Budget & Savings, Debt Management, Understanding Taxes"
367,4,3,4,3,2,5,Investment Basics
368,4,4,2,4,3,3,Frugal Living and Spending Wisely
369,4,4,5,3,5,5,Understanding Taxes
370,4,4,3,2,4,3,Understanding Taxes
371,1,1,3,3,2,1,"Budget & Savings, Debt Management, Financial Planning"
372,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
373,5,4,5,4,4,5,"Budget & Savings, Investment Basics, Understanding Taxes"
374,3,4,2,2,3,2,"Debt Management, Frugal Living and Spending Wisely, Understanding Taxes"
375,4,5,4,3,4,4,Understanding Taxes
376,4,5,4,3,4,4,Understanding Taxes
377,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
378,4,3,5,5,4,2,Debt Management
379,4,4,4,5,3,4,Investment Basics
380,2,2,4,4,4,4,"Budget & Savings, Financial Planning"
381,2,2,4,4,4,4,"Budget & Savings, Financial Planning"
382,2,2,2,2,1,5,Investment Basics
383,4,4,4,5,5,3,Debt Management
384,5,5,4,5,5,3,Debt Management
385,4,4,4,3,3,1,Debt Management
386,4,5,5,4,5,5,"Financial Planning, Understanding Taxes"
387,4,3,4,3,4,4,"Budget & Savings, Understanding Taxes"
388,5,5,4,5,4,5,"Frugal Living and Spending Wisely, Investment Basics"
389,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
390,5,4,5,4,4,4,"Budget & Savings, Debt Management, Investment Basics"
391,4,5,5,4,4,3,Debt Management
392,3,3,4,2,2,4,"Investment Basics, Understanding Taxes"
393,5,5,5,5,5,3,Debt Management
394,4,3,4,4,4,4,Budget & Savings
395,4,5,3,4,3,4,"Frugal Living and Spending Wisely, Investment Basics"
396,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
397,5,4,5,4,5,4,"Budget & Savings, Debt Management, Understanding Taxes"
398,3,4,4,4,4,5,Financial Planning
399,1,2,3,2,2,3,Financial Planning
400,5,5,3,5,3,5,"Frugal Living and Spending Wisely, Investment Basics"
401,3,3,4,5,5,5,"Budget & Savings, Financial Planning"
402,4,4,4,5,4,5,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
403,5,4,4,5,3,5,Investment Basics
404,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
405,4,5,5,5,5,5,Financial Planning
406,5,4,3,4,5,5,Frugal Living and Spending Wisely
407,5,4,3,4,5,5,Frugal Living and Spending Wisely
408,4,4,4,4,3,5,Investment Basics
409,5,5,4,4,4,4,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
410,2,3,2,2,2,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
411,3,4,3,3,4,3,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
412,2,2,2,4,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
413,4,4,5,4,4,5,"Budget & Savings, Financial Planning, Investment Basics"
414,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
415,5,4,3,4,4,5,Frugal Living and Spending Wisely
416,4,4,3,4,2,2,"Debt Management, Investment Basics"
417,3,3,1,2,2,2,Frugal Living and Spending Wisely
418,4,4,5,4,5,5,"Budget & Savings, Financial Planning, Understanding Taxes"
419,4,4,4,3,4,4,Understanding Taxes
420,4,5,4,5,5,5,"Financial Planning, Frugal Living and Spending Wisely"
421,4,3,4,5,2,4,Investment Basics
422,3,3,2,2,3,5,"Frugal Living and Spending Wisely, Understanding Taxes"
423,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
424,3,4,4,1,5,5,Understanding Taxes
425,2,2,2,3,3,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
426,3,3,1,3,3,3,Frugal Living and Spending Wisely
427,4,4,4,4,1,4,Investment Basics
428,4,3,5,4,4,5,Budget & Savings
429,3,1,1,1,1,3,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
430,1,1,1,1,2,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
431,1,1,1,1,2,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
432,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
433,3,4,4,4,4,5,Financial Planning
434,4,4,4,4,2,3,Investment Basics
